,target_loc,Coordinates,latitude,longitude
30,"Texarkana, Arkansas","(33.4254259, -94.0430937)",33.4254259,-94.0430937
31,"Perry, Arkansas","(34.9616474, -92.8757514)",34.9616474,-92.8757514
32,"Marvell, Arkansas","(34.5556555, -90.9128928)",34.5556555,-90.9128928
33,"Pulaski, Arkansas","(34.7550166, -92.3003472)",34.7550166,-92.3003472
34,"Jacksonville, Arkansas","(34.8662005, -92.1101458)",34.8662005,-92.1101458
35,"North Little Rock, Arkansas","(34.769536, -92.2670941)",34.769536,-92.2670941
36,"Sherwood, Arkansas","(34.8150907, -92.2243153)",34.8150907,-92.2243153
37,"Bryant, Arkansas","(34.5959265, -92.4890469)",34.5959265,-92.4890469
38,"Springdale, Arkansas","(36.1867442, -94.1288142)",36.1867442,-94.1288142
39,"Elkins, Arkansas","(36.0014682, -94.0082547)",36.0014682,-94.0082547
40,"White, Arkansas","(35.2463042, -91.7169687)",35.2463042,-91.7169687
41,"Searcy, Arkansas","(35.9018987, -92.7098744)",35.9018987,-92.7098744
42,"Springerville, Arizona","(34.1340599, -109.2860081)",34.1340599,-109.2860081
43,"Flagstaff, Arizona","(35.1816047, -111.6165953319917)",35.1816047,-111.6165953
44,"Maricopa, Arizona","(33.34883, -112.49123)",33.34883,-112.49123
45,"Avondale, Arizona","(33.4355977, -112.349602)",33.4355977,-112.349602
46,"Glendale, Arizona","(33.5386858, -112.1859941)",33.5386858,-112.1859941
47,"Mesa, Arizona","(33.4151117, -111.8314792)",33.4151117,-111.8314792
48,"Peoria, Arizona","(33.5806115, -112.237294)",33.5806115,-112.237294
49,"Phoenix, Arizona","(33.4484367, -112.0741417)",33.4484367,-112.0741417
50,"Scottsdale, Arizona","(33.4942189, -111.9260184)",33.4942189,-111.9260184
51,"Tempe, Arizona","(33.4255056, -111.9400091)",33.4255056,-111.9400091
52,"Kingman, Arizona","(35.189443, -114.0530065)",35.189443,-114.0530065
53,"Lake Havasu City, Arizona","(34.4838502, -114.3224495)",34.4838502,-114.3224495
54,"Show Low, Arizona","(34.2542084, -110.0298327)",34.2542084,-110.0298327
55,"Pima, Arizona","(32.1112624, -111.6546163)",32.1112624,-111.6546163
56,"Tucson, Arizona","(32.2228765, -110.9748477)",32.2228765,-110.9748477
57,"University of Arizona, Arizona","(33.45205165, -112.06367894217559)",33.45205165,-112.0636789
58,"Pinal, Arizona","(32.8085851, -111.4426212)",32.8085851,-111.4426212
59,"Mammoth, Arizona","(32.722568, -110.6406547)",32.722568,-110.6406547
60,"Apache Junction, Arizona","(33.4150485, -111.549577)",33.4150485,-111.549577
61,"Prescott, Arizona","(34.5399962, -112.4687616)",34.5399962,-112.4687616
62,"Yuma, Arizona","(32.665135, -114.47603157249804)",32.665135,-114.4760316
63,"Alameda, California","(37.6090291, -121.899142)",37.6090291,-121.899142
64,"Albany, California","(37.88687, -122.2977475)",37.88687,-122.2977475
65,"Berkeley, California","(37.8708393, -122.272863)",37.8708393,-122.272863
66,"Emeryville, California","(37.8314089, -122.2865266)",37.8314089,-122.2865266
67,"Fremont, California","(37.5482697, -121.988571)",37.5482697,-121.988571
68,"Livermore, California","(37.6820583, -121.7680531)",37.6820583,-121.7680531
69,"Newark, California","(37.5296593, -122.0402399)",37.5296593,-122.0402399
70,"Oakland, California","(37.8044557, -122.2713563)",37.8044557,-122.2713563
71,"San Leandro, California","(37.7249296, -122.1560768)",37.7249296,-122.1560768
72,"Union City, California","(37.5963232, -122.0816297)",37.5963232,-122.0816297
73,"Dublin, California","(37.7021521, -121.9357918)",37.7021521,-121.9357918
74,"University of California:, California","(33.6431901, -117.84016493553044)",33.6431901,-117.8401649
75,"Butte, California","(39.6519275, -121.5858444)",39.6519275,-121.5858444
76,"Chico, California","(39.7284945, -121.8374777)",39.7284945,-121.8374777
77,"Gridley, California","(39.3637773, -121.693583)",39.3637773,-121.693583
78,"Paradise, California","(39.7596061, -121.6219177)",39.7596061,-121.6219177
79,"Angels Camp, California","(38.0695732, -120.5405039)",38.0695732,-120.5405039
80,"Colusa, California","(39.1465578, -122.2209563)",39.1465578,-122.2209563
81,"Contra Costa, California","(37.9034806, -121.9175345)",37.9034806,-121.9175345
82,"Antioch, California","(38.0049214, -121.805789)",38.0049214,-121.805789
83,"Brentwood, California","(37.9317766, -121.6960266)",37.9317766,-121.6960266
84,"Concord, California","(37.9768525, -122.0335624)",37.9768525,-122.0335624
85,"El Cerrito, California","(33.8410146, -117.52079778811958)",33.8410146,-117.5207978
86,"Hercules, California","(38.0171441, -122.2885808)",38.0171441,-122.2885808
87,"Pleasant Hill, California","(37.9479786, -122.0607963)",37.9479786,-122.0607963
88,"Richmond, California","(37.9357576, -122.347748)",37.9357576,-122.347748
89,"San Pablo, California","(37.9621457, -122.3455263)",37.9621457,-122.3455263
90,"Walnut Creek, California","(37.9020731, -122.0618702)",37.9020731,-122.0618702
91,"San Ramon, California","(37.7648021, -121.9544387)",37.7648021,-121.9544387
92,"Oakley, California","(37.9974219, -121.7124536)",37.9974219,-121.7124536
93,"El Dorado, California","(38.7574137, -120.5276129)",38.7574137,-120.5276129
94,"South Lake Tahoe, California","(38.9332411, -119.9843482)",38.9332411,-119.9843482
95,"Clovis, California","(36.8252277, -119.7029194)",36.8252277,-119.7029194
96,"Fresno, California","(36.7394421, -119.7848307)",36.7394421,-119.7848307
97,"Parlier, California","(36.6116174, -119.5270734)",36.6116174,-119.5270734
98,"California State University:, California","(37.8753497, -122.23963364918777)",37.8753497,-122.2396336
99,"Arcata, California","(40.866517, -124.08284)",40.866517,-124.08284
100,"Eureka, California","(40.8020712, -124.1636729)",40.8020712,-124.1636729
101,"Bishop, California","(37.363679, -118.3952405)",37.363679,-118.3952405
102,"Kern, California","(35.3145701, -118.7538222)",35.3145701,-118.7538222
103,"Bakersfield, California","(35.3738712, -119.0194639)",35.3738712,-119.0194639
104,"Delano, California","(35.7688425, -119.2470536)",35.7688425,-119.2470536
105,"Ridgecrest, California","(35.6225064, -117.6699414)",35.6225064,-117.6699414
106,"Shafter, California","(35.5005139, -119.2717761)",35.5005139,-119.2717761
107,"Tehachapi, California","(35.1321878, -118.4489739)",35.1321878,-118.4489739
108,"Lemoore, California","(36.3006495, -119.7827122)",36.3006495,-119.7827122
109,"Lake, California","(39.0505411, -122.7776556)",39.0505411,-122.7776556
110,"Clearlake, California","(38.9582307, -122.6263728)",38.9582307,-122.6263728
111,"Los Angeles, California","(34.0536909, -118.242766)",34.0536909,-118.242766
112,"Azusa, California","(34.1338751, -117.9056046)",34.1338751,-117.9056046
113,"Baldwin Park, California","(34.0854739, -117.9611761)",34.0854739,-117.9611761
114,"Beverly Hills, California","(34.0696501, -118.3963062)",34.0696501,-118.3963062
115,"Burbank, California","(34.1816482, -118.3258554)",34.1816482,-118.3258554
116,"Commerce, California","(34.002581, -118.156586)",34.002581,-118.156586
117,"Compton, California","(33.894927, -118.226624)",33.894927,-118.226624
118,"Covina, California","(34.0877926, -117.8891164)",34.0877926,-117.8891164
119,"Cerritos, California","(33.8644291, -118.0539323)",33.8644291,-118.0539323
120,"Agoura Hills, California","(34.14791, -118.7657042)",34.14791,-118.7657042
121,"West Hollywood, California","(34.0923014, -118.3692894)",34.0923014,-118.3692894
122,"Santa Clarita, California","(34.3916641, -118.542586)",34.3916641,-118.542586
123,"Downey, California","(33.942215, -118.1235646)",33.942215,-118.1235646
124,"Duarte, California","(34.1394513, -117.9772873)",34.1394513,-117.9772873
125,"El Monte, California","(34.0751571, -118.036849)",34.0751571,-118.036849
126,"Glendale, California","(34.1469416, -118.2478471)",34.1469416,-118.2478471
127,"Hawaiian Gardens, California","(33.8284787, -118.0743137)",33.8284787,-118.0743137
128,"Hermosa Beach, California","(33.86428, -118.39591)",33.86428,-118.39591
129,"Calabasas, California","(34.1446643, -118.6440973)",34.1446643,-118.6440973
130,"Malibu, California","(34.035591, -118.689423)",34.035591,-118.689423
131,"Los Angeles Transportation Services Bureau, California","(None, None)",,
132,"Lakewood, California","(33.8503463, -118.1171914)",33.8503463,-118.1171914
133,"La Verne, California","(34.1008426, -117.7678355)",34.1008426,-117.7678355
134,"Long Beach, California","(33.7690164, -118.191604)",33.7690164,-118.191604
135,"Maywood, California","(33.9866807, -118.185349)",33.9866807,-118.185349
136,"Norwalk, California","(33.9092802, -118.0849169)",33.9092802,-118.0849169
137,"Palmdale, California","(34.5793131, -118.1171108)",34.5793131,-118.1171108
138,"Paramount, California","(33.898917, -118.171005)",33.898917,-118.171005
139,"Pasadena, California","(34.1476452, -118.1444779)",34.1476452,-118.1444779
140,"Pico Rivera, California","(33.9830688, -118.096735)",33.9830688,-118.096735
141,"Pomona, California","(34.0553813, -117.7517496)",34.0553813,-117.7517496
142,"Redondo Beach, California","(33.8455911, -118.3886766)",33.8455911,-118.3886766
143,"Rolling Hills Estates, California","(33.7877943, -118.3581284)",33.7877943,-118.3581284
144,"Santa Monica, California","(34.0194704, -118.4912273)",34.0194704,-118.4912273
145,"Sierra Madre, California","(34.1616729, -118.0528456)",34.1616729,-118.0528456
146,"South Gate, California","(33.9463456, -118.200981)",33.9463456,-118.200981
147,"Temple City, California","(34.1082994, -118.0577568)",34.1082994,-118.0577568
148,"Torrance, California","(33.8358492, -118.3406288)",33.8358492,-118.3406288
149,"West Covina, California","(34.0686208, -117.9389526)",34.0686208,-117.9389526
150,"Whittier, California","(33.9708782, -118.0308396)",33.9708782,-118.0308396
151,"Carson, California","(33.8322043, -118.2517547)",33.8322043,-118.2517547
152,"California State Polytechnic University:, California","(35.3074623, -120.66464833678835)",35.3074623,-120.6646483
153,"Rancho Palos Verdes, California","(33.7483311, -118.3707683)",33.7483311,-118.3707683
154,"Lancaster, California","(34.6981064, -118.1366153)",34.6981064,-118.1366153
155,"Madera, California","(36.9418115, -120.17143817857142)",36.9418115,-120.1714382
156,"Novato, California","(38.1061979, -122.5681191)",38.1061979,-122.5681191
157,"San Rafael, California","(37.9735346, -122.5310874)",37.9735346,-122.5310874
158,"Mariposa, California","(37.570148, -119.9036592)",37.570148,-119.9036592
159,"Mendocino, California","(39.3176491, -123.4126399)",39.3176491,-123.4126399
160,"Fort Bragg, California","(39.4534731, -123.81491141575003)",39.4534731,-123.8149114
161,"Merced, California","(37.1641544, -120.7678602)",37.1641544,-120.7678602
162,"Monterey, California","(36.2231079, -121.3877428)",36.2231079,-121.3877428
163,"Carmel, California","(38.75511285, -121.35330894827251)",38.75511285,-121.3533089
164,"Greenfield, California","(36.3207998, -121.2438138)",36.3207998,-121.2438138
165,"Pacific Grove, California","(36.6211374, -121.91779)",36.6211374,-121.91779
166,"Soledad, California","(36.4269452, -121.3272147)",36.4269452,-121.3272147
167,"Marina, California","(36.6900986, -121.80062933026213)",36.6900986,-121.8006293
168,"Grass Valley, California","(39.2190607, -121.06292)",39.2190607,-121.06292
169,"Truckee, California","(39.327962, -120.1832533)",39.327962,-120.1832533
170,"Orange, California","(33.7500378, -117.8704931)",33.7500378,-117.8704931
171,"Anaheim, California","(33.8347516, -117.911732)",33.8347516,-117.911732
172,"Buena Park, California","(33.870413, -117.9962165)",33.870413,-117.9962165
173,"Costa Mesa, California","(33.6633386, -117.903317)",33.6633386,-117.903317
174,"Cypress, California","(33.8248235, -118.0399368)",33.8248235,-118.0399368
175,"Fountain Valley, California","(33.7038145, -117.9627349)",33.7038145,-117.9627349
176,"Garden Grove, California","(33.7746292, -117.9463717)",33.7746292,-117.9463717
177,"Huntington Beach, California","(33.6783336, -118.0000166)",33.6783336,-118.0000166
178,"La Habra, California","(33.9316066, -117.9454867)",33.9316066,-117.9454867
179,"Los Alamitos, California","(33.8038865, -118.0772433)",33.8038865,-118.0772433
180,"Newport Beach, California","(33.6170092, -117.9294401)",33.6170092,-117.9294401
181,"Placentia, California","(33.8714814, -117.8617337)",33.8714814,-117.8617337
182,"San Juan Capistrano, California","(33.5016932, -117.6625509)",33.5016932,-117.6625509
183,"Santa Ana, California","(33.7494951, -117.8732213)",33.7494951,-117.8732213
184,"Stanton, California","(33.79410005, -117.99510059728792)",33.79410005,-117.9951006
185,"Tustin, California","(33.7458511, -117.826166)",33.7458511,-117.826166
186,"Westminster, California","(33.7578725, -117.9859054)",33.7578725,-117.9859054
187,"Yorba Linda, California","(33.8901096, -117.8249705)",33.8901096,-117.8249705
188,"Mission Viejo, California","(33.5965685, -117.659405)",33.5965685,-117.659405
189,"Lake Forest, California","(33.6469261, -117.6859213)",33.6469261,-117.6859213
190,"Rancho Santa Margarita, California","(33.6408845, -117.6029341)",33.6408845,-117.6029341
191,"Aliso Viejo, California","(33.5761376, -117.7258122)",33.5761376,-117.7258122
192,"Roseville, California","(38.7521235, -121.2880059)",38.7521235,-121.2880059
193,"Riverside, California","(33.9533546, -117.3961623)",33.9533546,-117.3961623
194,"Indio, California","(33.743764999999996, -116.22331524966393)",33.743765,-116.2233152
195,"Palm Springs, California","(33.772179449999996, -116.49529769785079)",33.77217945,-116.4952977
196,"Perris, California","(33.7825194, -117.2286478)",33.7825194,-117.2286478
197,"San Jacinto, California","(33.7839664, -116.9589086)",33.7839664,-116.9589086
198,"Corona, California","(33.8752945, -117.5664449)",33.8752945,-117.5664449
199,"Cathedral City, California","(33.822998049999995, -116.4668702427116)",33.82299805,-116.4668702
200,"La Quinta, California","(33.66365425, -116.27770251129584)",33.66365425,-116.2777025
201,"Moreno Valley, California","(33.937517, -117.2305944)",33.937517,-117.2305944
202,"Temecula, California","(33.4946353, -117.1473661)",33.4946353,-117.1473661
203,"Murrieta, California","(33.577752399999994, -117.18845420205307)",33.5777524,-117.1884542
204,"Riverside Community College, California","(33.971658649999995, -117.3806576371824)",33.97165865,-117.3806576
205,"Sacramento, California","(38.5810606, -121.493895)",38.5810606,-121.493895
206,"Galt, California","(38.3012325, -121.33103724662058)",38.3012325,-121.3310372
207,"Citrus Heights, California","(38.7071247, -121.2810611)",38.7071247,-121.2810611
208,"San Bernardino, California","(34.8253019, -116.0833144)",34.8253019,-116.0833144
209,"Chino, California","(34.0133561, -117.690075)",34.0133561,-117.690075
210,"Fontana, California","(34.0922335, -117.435048)",34.0922335,-117.435048
211,"Ontario, California","(34.065846, -117.6484304)",34.065846,-117.6484304
212,"Redlands, California","(34.0550328, -117.1827445)",34.0550328,-117.1827445
213,"Upland, California","(34.09751, -117.6483876)",34.09751,-117.6483876
214,"Rancho Cucamonga, California","(34.1033192, -117.5751735)",34.1033192,-117.5751735
215,"Hesperia, California","(34.4263886, -117.3008784)",34.4263886,-117.3008784
216,"Apple Valley, California","(34.5008311, -117.1858759)",34.5008311,-117.1858759
217,"San Diego, California","(32.7174202, -117.1627728)",32.7174202,-117.1627728
218,"Carlsbad, California","(33.1580933, -117.3505966)",33.1580933,-117.3505966
219,"Chula Vista, California","(32.6400541, -117.0841955)",32.6400541,-117.0841955
220,"Coronado, California","(32.6915199, -117.1766947)",32.6915199,-117.1766947
221,"Del Mar, California","(32.9594891, -117.2653146)",32.9594891,-117.2653146
222,"El Cajon, California","(32.7947731, -116.9625269)",32.7947731,-116.9625269
223,"Escondido, California","(33.1216751, -117.0814849)",33.1216751,-117.0814849
224,"La Mesa, California","(32.7678288, -117.0230839)",32.7678288,-117.0230839
225,"National City, California","(32.6781085, -117.0991967)",32.6781085,-117.0991967
226,"Oceanside, California","(33.1958696, -117.3794834)",33.1958696,-117.3794834
227,"San Marcos, California","(33.1433723, -117.1661449)",33.1433723,-117.1661449
228,"Vista, California","(33.2000368, -117.2425355)",33.2000368,-117.2425355
229,"San Diego State University, California","(32.7761529, -117.07330366921886)",32.7761529,-117.0733037
230,"Santee, California","(32.8383828, -116.9739167)",32.8383828,-116.9739167
231,"Poway, California","(32.9628234, -117.0358646)",32.9628234,-117.0358646
232,"Encinitas, California","(33.0369867, -117.2919818)",33.0369867,-117.2919818
233,"San Francisco, California","(37.7790262, -122.419906)",37.7790262,-122.419906
234,"San Francisco Bay Area Rapid Transit:, California","(None, None)",,
235,"San Joaquin, California","(37.9372901, -121.2773719)",37.9372901,-121.2773719
236,"Escalon, California","(37.7974273, -120.9966033)",37.7974273,-120.9966033
237,"Lodi, California","(38.097198, -121.3878496465736)",38.097198,-121.3878496
238,"Manteca, California","(37.7986184, -121.2117148)",37.7986184,-121.2117148
239,"Ripon, California","(37.741595, -121.1243828)",37.741595,-121.1243828
240,"Stockton, California","(37.9577016, -121.2907796)",37.9577016,-121.2907796
241,"Tracy, California","(37.718829, -121.43437985945519)",37.718829,-121.4343799
242,"San Luis Obispo, California","(35.3540209, -120.3757163)",35.3540209,-120.3757163
243,"San Mateo, California","(37.496904, -122.3330573)",37.496904,-122.3330573
244,"Belmont, California","(37.5164926, -122.2941914)",37.5164926,-122.2941914
245,"Millbrae, California","(37.598958, -122.4009419)",37.598958,-122.4009419
246,"Pacifica, California","(37.6138253, -122.4869194)",37.6138253,-122.4869194
247,"Redwood City, California","(37.4863239, -122.232523)",37.4863239,-122.232523
248,"San Bruno, California","(37.6261715, -122.4332435)",37.6261715,-122.4332435
249,"Foster City, California","(37.5600336, -122.2688522)",37.5600336,-122.2688522
250,"East Palo Alto, California","(37.4688273, -122.1410751)",37.4688273,-122.1410751
251,"Santa Barbara, California","(34.4221319, -119.7026673)",34.4221319,-119.7026673
252,"Santa Maria, California","(34.9531295, -120.4358577)",34.9531295,-120.4358577
253,"Allan Hancock College, California","(34.679364250000006, -120.46454771298292)",34.67936425,-120.4645477
254,"Santa Clara, California","(37.2333253, -121.6846349)",37.2333253,-121.6846349
255,"Campbell, California","(37.2870626, -121.9448818)",37.2870626,-121.9448818
256,"Los Gatos, California","(37.226611, -121.9746797)",37.226611,-121.9746797
257,"Palo Alto, California","(37.4443293, -122.1598465)",37.4443293,-122.1598465
258,"San Jose, California","(37.3361905, -121.890583)",37.3361905,-121.890583
259,"Sunnyvale, California","(37.3688301, -122.036349)",37.3688301,-122.036349
260,"Santa Clara Transit District, California","(37.7891641, -122.3967838)",37.7891641,-122.3967838
261,"Santa Cruz, California","(37.050096, -121.9905908)",37.050096,-121.9905908
262,"Watsonville, California","(36.9092773, -121.7529071)",36.9092773,-121.7529071
263,"Scotts Valley, California","(37.0510595, -122.0146841)",37.0510595,-122.0146841
264,"Shasta, California","(40.7965121, -121.9979194)",40.7965121,-121.9979194
265,"Redding, California","(40.5863563, -122.3916754)",40.5863563,-122.3916754
266,"Vacaville, California","(38.3565773, -121.9877444)",38.3565773,-121.9877444
267,"Vallejo, California","(38.1040864, -122.2566367)",38.1040864,-122.2566367
268,"Sonoma, California","(38.5110803, -122.8473388)",38.5110803,-122.8473388
269,"Rohnert Park, California","(38.3396367, -122.7010984)",38.3396367,-122.7010984
270,"Santa Rosa, California","(38.4404925, -122.7141049)",38.4404925,-122.7141049
271,"Petaluma, California","(38.2325829, -122.636465)",38.2325829,-122.636465
272,"Stanislaus, California","(37.5500871, -121.0501425)",37.5500871,-121.0501425
273,"Modesto, California","(37.6390972, -120.9968782)",37.6390972,-120.9968782
274,"Patterson, California","(37.471623, -121.1296949)",37.471623,-121.1296949
275,"Riverbank, California","(37.7360396, -120.9354895)",37.7360396,-120.9354895
276,"Turlock, California","(37.4946568, -120.8465941)",37.4946568,-120.8465941
277,"Red Bluff, California","(40.1784279, -122.2359236)",40.1784279,-122.2359236
278,"Visalia, California","(36.3302284, -119.2920585)",36.3302284,-119.2920585
279,"Sonora, California","(37.9840911, -120.3821381)",37.9840911,-120.3821381
280,"Ventura, California","(34.4458248, -119.0779359)",34.4458248,-119.0779359
281,"Camarillo, California","(34.2176371, -119.0383541)",34.2176371,-119.0383541
282,"Oxnard, California","(34.1976308, -119.1803818)",34.1976308,-119.1803818
283,"Thousand Oaks, California","(34.17142715, -118.91058772974445)",34.17142715,-118.9105877
284,"Simi Valley, California","(34.2677404, -118.7538071)",34.2677404,-118.7538071
285,"Davis, California","(38.545379, -121.7445835)",38.545379,-121.7445835
286,"Marysville, California","(39.1457247, -121.5913516)",39.1457247,-121.5913516
287,"Adams, Colorado","(39.8714085, -104.2701374)",39.8714085,-104.2701374
288,"Aurora, Colorado","(39.729432, -104.8319196)",39.729432,-104.8319196
289,"Commerce City, Colorado","(39.8083196, -104.9338675)",39.8083196,-104.9338675
290,"Thornton, Colorado","(39.8695516, -104.985181)",39.8695516,-104.985181
291,"Northglenn, Colorado","(39.9100858, -104.9875529)",39.9100858,-104.9875529
292,"Arapahoe, Colorado","(39.6416781, -104.3628567)",39.6416781,-104.3628567
293,"Littleton, Colorado","(39.613321, -105.0166498)",39.613321,-105.0166498
294,"Greenwood Village, Colorado","(39.6172101, -104.9508141)",39.6172101,-104.9508141
295,"Centennial, Colorado","(39.602187, -104.79078572071992)",39.602187,-104.7907857
296,"Pagosa Springs, Colorado","(37.2695661, -107.0108163)",37.2695661,-107.0108163
297,"Boulder, Colorado","(40.0149856, -105.270545)",40.0149856,-105.270545
298,"Lafayette, Colorado","(40.0024435, -105.10957997730037)",40.0024435,-105.10958
299,"Longmont, Colorado","(40.1672117, -105.1019287)",40.1672117,-105.1019287
300,"Louisville, Colorado","(39.977763, -105.1319296)",39.977763,-105.1319296
301,"Douglas, Colorado","(39.3420437, -104.9468945)",39.3420437,-104.9468945
302,"Colorado Springs, Colorado","(38.8339578, -104.8253485)",38.8339578,-104.8253485
303,"Monument, Colorado","(39.050058500000006, -104.85236566268321)",39.0500585,-104.8523657
304,"Florence, Colorado","(38.3902777, -105.1185988)",38.3902777,-105.1185988
305,"Jefferson, Colorado","(39.5699803, -105.2561919)",39.5699803,-105.2561919
306,"Arvada, Colorado","(39.8005505, -105.0811573)",39.8005505,-105.0811573
307,"Golden, Colorado","(39.755543, -105.221099)",39.755543,-105.221099
308,"Lakewood, Colorado","(39.624608499999994, -105.08420400222404)",39.6246085,-105.084204
309,"Wheat Ridge, Colorado","(39.766098, -105.0772063)",39.766098,-105.0772063
310,"Larimer, Colorado","(40.6810174, -105.4726907)",40.6810174,-105.4726907
311,"Fort Collins, Colorado","(40.5508527, -105.0668085)",40.5508527,-105.0668085
312,"Loveland, Colorado","(40.3977612, -105.0749801)",40.3977612,-105.0749801
313,"Trinidad, Colorado","(37.169397, -104.5005411)",37.169397,-104.5005411
314,"Mesa, Colorado","(39.0589084, -108.565996)",39.0589084,-108.565996
315,"Grand Junction, Colorado","(39.063956, -108.5507317)",39.063956,-108.5507317
316,"Fruita, Colorado","(39.1588697, -108.7289883)",39.1588697,-108.7289883
317,"Montezuma, Colorado","(37.3476546, -108.6260849)",37.3476546,-108.6260849
318,"Montrose, Colorado","(38.4375391, -108.2403855)",38.4375391,-108.2403855
319,"Aspen, Colorado","(39.1911128, -106.8235606)",39.1911128,-106.8235606
320,"Pueblo, Colorado","(38.2544472, -104.609141)",38.2544472,-104.609141
321,"Colorado State University:, Colorado","(40.5709358, -105.08655255626896)",40.5709358,-105.0865526
322,"Steamboat Springs, Colorado","(40.4848003, -106.8317359)",40.4848003,-106.8317359
323,"Summit, Colorado","(39.6070951, -106.0636654)",39.6070951,-106.0636654
324,"Breckenridge, Colorado","(39.4829124, -106.0465486)",39.4829124,-106.0465486
325,"Greeley, Colorado","(40.4233142, -104.7091322)",40.4233142,-104.7091322
326,"Evans, Colorado","(40.3763701, -104.6921874)",40.3763701,-104.6921874
327,"Frederick, Colorado","(40.0991506, -104.9371993)",40.0991506,-104.9371993
328,"Yuma, Colorado","(40.0163487, -102.458253)",40.0163487,-102.458253
329,"State Patrol, Colorado","(39.72408025, -105.19319408182528)",39.72408025,-105.1931941
330,"Denver, Colorado","(39.7392364, -104.9848623)",39.7392364,-104.9848623
331,"Bridgeport, Connecticut","(41.184722300000004, -73.18672053183846)",41.1847223,-73.18672053
332,"Coventry, Connecticut","(41.7700987, -72.3050803)",41.7700987,-72.3050803
333,"Cromwell, Connecticut","(41.5949942, -72.6455665)",41.5949942,-72.6455665
334,"Enfield, Connecticut","(41.9789387, -72.5755109)",41.9789387,-72.5755109
335,"Fairfield, Connecticut","(41.1412078, -73.2637258)",41.1412078,-73.2637258
336,"Glastonbury, Connecticut","(41.7123218, -72.608146)",41.7123218,-72.608146
337,"Greenwich, Connecticut","(41.0264862, -73.6284598)",41.0264862,-73.6284598
338,"Hartford, Connecticut","(41.7655582, -72.69061276146614)",41.7655582,-72.69061276
339,"Manchester, Connecticut","(41.7834017, -72.5231973)",41.7834017,-72.5231973
340,"Middletown, Connecticut","(41.54961415, -72.65157756750801)",41.54961415,-72.65157757
341,"Milford, Connecticut","(41.2226155, -73.04622662165758)",41.2226155,-73.04622662
342,"Naugatuck, Connecticut","(41.4878595, -73.05629362532895)",41.4878595,-73.05629363
343,"New Britain, Connecticut","(41.6796456, -72.78834682044055)",41.6796456,-72.78834682
344,"New Canaan, Connecticut","(41.146763, -73.4948446)",41.146763,-73.4948446
345,"New Haven, Connecticut","(41.298434349999994, -72.93102342707913)",41.29843435,-72.93102343
346,"Newington, Connecticut","(41.6978777, -72.7237063)",41.6978777,-72.7237063
347,"New London, Connecticut","(41.331256, -72.09643715791685)",41.331256,-72.09643716
348,"Newtown, Connecticut","(41.412387, -73.31153913634024)",41.412387,-73.31153914
349,"Norwalk, Connecticut","(41.1175966, -73.4078968)",41.1175966,-73.4078968
